time,coord_x,coord_y
26.64831,0.489064,0.491951
26.66237,0.487332,0.489837
26.67618,0.485596,0.487729
26.69014,0.483835,0.485551
26.704,0.482161,0.483489
26.71781,0.480592,0.481596
26.7319,0.47909,0.479817
26.74569,0.477673,0.47811
26.7597,0.476306,0.47637
26.77352,0.474973,0.474688
26.78757,0.473662,0.473091
26.80139,0.472393,0.471575
26.81531,0.471143,0.470064
26.82931,0.469923,0.468607
26.84316,0.468725,0.467257
26.85715,0.467515,0.466005
26.87097,0.46628,0.464791
26.88493,0.464995,0.463576
26.89885,0.463726,0.46236
26.91287,0.462507,0.461189
26.92666,0.461387,0.46018
26.94073,0.460323,0.459295
26.95459,0.459304,0.458532
26.96837,0.458304,0.457834
26.98249,0.457264,0.457193
26.99633,0.45624,0.456695
27.01023,0.455156,0.456321
27.02413,0.453972,0.456025
27.03808,0.452641,0.455849
27.05191,0.451205,0.455791
27.06583,0.449661,0.455884
27.07993,0.447942,0.456196
27.09376,0.446108,0.456702
27.10772,0.444145,0.457321
27.12159,0.442075,0.457947
27.13556,0.439803,0.458545
27.14943,0.437537,0.459103
27.16344,0.435307,0.459687
27.17732,0.433151,0.460326
27.19124,0.431028,0.460971
27.20529,0.428913,0.461586
27.21916,0.426856,0.462102
27.23297,0.424809,0.462542
27.24685,0.422902,0.462918
27.26085,0.42112,0.463297
27.27482,0.419518,0.463725
27.28885,0.417987,0.464205
27.30254,0.416601,0.464702
27.3165,0.415229,0.465201
27.33037,0.413941,0.465671
27.34441,0.412798,0.466072
27.35824,0.411895,0.466382
27.37213,0.411162,0.466654
27.38616,0.410506,0.466918
27.40005,0.409992,0.467178
27.41405,0.409543,0.467485
27.42789,0.40915,0.467852
27.44191,0.408816,0.468277
27.4558,0.408559,0.468728
27.4697,0.40837,0.469197
27.48362,0.408249,0.469651
27.4975,0.408186,0.470103
27.51143,0.408182,0.470568
27.52533,0.408228,0.471085
27.5392,0.408346,0.471664
27.55327,0.408529,0.472283
27.56713,0.40878,0.472893
27.58116,0.409082,0.473479
27.59488,0.409401,0.473946
27.60888,0.409783,0.474334
27.62273,0.410255,0.47467
27.63669,0.410877,0.474983
27.65068,0.41165,0.475266
27.66464,0.412597,0.475486
27.67857,0.413683,0.475584
27.6924,0.414948,0.475536
27.70646,0.416429,0.475398
27.7203,0.418103,0.475236
27.73429,0.420001,0.475082
27.74809,0.422022,0.474917
27.76201,0.424245,0.474668
27.77606,0.426597,0.474269
27.78986,0.429021,0.473753
27.80388,0.431547,0.473165
27.81761,0.434178,0.472583
27.8317,0.436854,0.472005
27.84555,0.439415,0.471367
27.85944,0.441906,0.470593
27.87341,0.444327,0.469649
27.88749,0.446599,0.468702
